,Unnamed: 0,id_tweet,isFavorable,id_politico,text,time,nome_principal,twitter,classe politica,nome_partido,estado,regiao,Id_politico,nome_semacento
10,10,132,-1,12,"“É um ataque brutal contra a classe trabalhadora”, diz o presidente da CUT, Vagner Freitas  #ReajaOuSuaPrevidênciaAcaba",2019-02-20 18:11:31,AIRTON FALEIRO,faleiroairton,deputado federal,PT,para,NORTE,5,AIRTON FALEIRO
11,11,133,-1,12,"Os mais prejudicados serão os que ganham menos, os que têm uma expectativa de vida mais baixa, entram no mercado mais cedo e em profissões que exigem mais esforço físico https://t.co/l2hgXtv288 #ReajaOuSuaPrevidênciaAcaba",2019-02-20 14:42:33,AIRTON FALEIRO,faleiroairton,deputado federal,PT,para,NORTE,5,AIRTON FALEIRO
12,12,134,-1,12,A proposta de Bolsonaro prevê a obrigatoriedade de idades mínimas de 65 anos para os homens e 62 para as mulheres https://t.co/l2hgXtv288 #ReajaOuSuaPrevidênciaAcaba,2019-02-20 14:21:57,AIRTON FALEIRO,faleiroairton,deputado federal,PT,para,NORTE,5,AIRTON FALEIRO
13,13,135,-1,12,"A reforma da Previdência dificulta o acesso e reduz o valor da aposentadoria, diz o presidente da CUT, Vagner Freitas https://t.co/l2hgXtv288 #ReajaOuSuaPrevidênciaAcaba",2019-02-20 14:04:56,AIRTON FALEIRO,faleiroairton,deputado federal,PT,para,NORTE,5,AIRTON FALEIRO
14,14,146,1,15,"Contamos com a participação do Secretário Especial da Previdência Social, Rodrigo Marinho, na reunião da @fpagropecuaria desta terça (26). Recebemos as informações necessárias para ir atrás de boas soluções para o recebimento da reforma no ambiente rural. #ReformaDaPrevidência https://t.co/EYtFFQ740G",2019-02-26 16:55:52,ALCEU MOREIRA,Alceu_Moreira,deputado federal,MDB,RIO GRANDE DO SUL,SUL,6,ALCEU MOREIRA
15,15,148,0,15,"Na reunião da @fpagropecuaria desta terça vamos receber o secretário especial da Previdência Social Rogério Marinho para tratar especificamente da reforma no meio rural. Vamos receber a imprensa antes da nossa conversa, às 12h na nossa sede, em Brasília.",2019-02-26 14:09:23,ALCEU MOREIRA,Alceu_Moreira,deputado federal,MDB,RIO GRANDE DO SUL,SUL,6,ALCEU MOREIRA
16,16,205,-1,19,"DENÚNCIA! A proposta de Reforma da Previdência do governo ameaça os tribunais superiores. O sorrateiro movimento do Palácio do Planalto abre espaço para que a idade de aposentadoria dos magistrados seja modificada. Com isso, o presidente poderia indicar mais ministros no STF. https://t.co/a1HkJookmU",2019-02-21 22:47:28,ALESSANDRO MOLON,alessandromolon,deputado federal,PSB,RIO DE JANEIRO,SUDESTE,7,ALESSANDRO MOLON
17,17,206,-1,19,"DENÚNCIA! Proposta de Reforma da Previdência de Bolsonaro é uma grave ameaça à independência do poder judiciário, sobretudo ao @STF_oficial. Entenda: https://t.co/R55ChJgRhG",2019-02-21 20:20:06,ALESSANDRO MOLON,alessandromolon,deputado federal,PSB,RIO DE JANEIRO,SUDESTE,7,ALESSANDRO MOLON
18,18,212,-1,19,REFORMA DA PREVIDÊNCIA: O texto do governo chegou hoje é um projeto justo? https://t.co/sQrqH2PnCy,2019-02-21 00:54:56,ALESSANDRO MOLON,alessandromolon,deputado federal,PSB,RIO DE JANEIRO,SUDESTE,7,ALESSANDRO MOLON
19,19,305,1,23,O caso envolvendo o Ministro da Educação vai virar escândalo? Quais eram os escândalos do governo passado? Os escândalos neste governo geraram algum prejuízo ao erário como os do PT geravam? Que tal focarmos na Reforma da Previdência? #HinoNacionalNasEscolas #HinoNacionalSim,2019-02-26 15:50:18,ALEXANDRE LEITE,lexandreleite,deputado federal,DEM,SÃO PAULO,SUDESTE,10,ALEXANDRE LEITE
20,20,341,-1,24,"Todo o apoio e solidariedade a greve dos trabalhadores. O fechamento do escritório da Petrobrás afeta diretamente mais de 800 trabalhadores. 
Solidariedade também aos servidores municipais que tiveram sua previdência atacada por Doria. 
Bruno Covas, não seja cruel! https://t.co/aaWzLiahD9",2019-02-27 20:53:02,ALEXANDRE PADILHA,padilhando,deputado federal,PT,SÃO PAULO,SUDESTE,11,ALEXANDRE PADILHA
21,21,355,1,26,"O cidadão tem todo direito de não concordar c/ essa proposta do governo, mas até aí, usar sua popularidade remanescente p/ enganar a população de forma irresponsável e populista, já é demais.

Do jeito que fala, parece que emprego dá em árvores!
 
#NovaPrevidencia #timeAlexis https://t.co/F2Tj2kwVgn",2019-02-28 09:33:34,ALEXIS FONTEYNE,alexisfonteyne,deputado federal,NOVO,SÃO PAULO,SUDESTE,14,ALEXIS FONTEYNE
22,22,358,1,26,"@D4NI3LS4L35 Obrigado, Daniel. 
Vale ouvir o 1o vídeo da série sobre #ReformaDaPrevidência que começamos a veicular nas mídias sociais!
#timeAlexis 
https://t.co/Vx65F9i0H5",2019-02-27 14:56:39,ALEXIS FONTEYNE,alexisfonteyne,deputado federal,NOVO,SÃO PAULO,SUDESTE,14,ALEXIS FONTEYNE
23,23,359,1,26,"RT @partidonovo30: O deputado federal do NOVO-SP, @AlexisFonteyne, explicou de forma didática a inviabilidade do atual sistema previdenciár…",2019-02-27 10:02:29,ALEXIS FONTEYNE,alexisfonteyne,deputado federal,NOVO,SÃO PAULO,SUDESTE,14,ALEXIS FONTEYNE
24,24,368,1,26,A Previdência é um iceberg ao qual o Brasil está preste a colidir e afundar. É uma questão de responsabilidade fazer a reforma da previdência,2019-02-22 11:11:17,ALEXIS FONTEYNE,alexisfonteyne,deputado federal,NOVO,SÃO PAULO,SUDESTE,14,ALEXIS FONTEYNE
25,25,373,1,26,"Renuncio ao Plano de Seguridade Social dos Congressistas (PSSC).

É preciso ser coerente com essa reforma tão necessária e urgente.

Queremos a mesma Previdência para todos os brasileiros!

#ReformaDaPrevidencia #PorUmNovoBrasil @partidonovo30
#timeAlexis https://t.co/SwB4VbnKxZ",2019-02-21 22:32:21,ALEXIS FONTEYNE,alexisfonteyne,deputado federal,NOVO,SÃO PAULO,SUDESTE,14,ALEXIS FONTEYNE
26,26,374,1,26,"A Reforma é um remédio amargo. Sabemos disso.
Mas isso não impede uma pessoa entender q sem ela o país fica insolvente.

""Quem é contra a reforma da previdência ou está entre os privilegiados ou está muito mal informado."" (Amoêdo)

#NovaReforma #ReformaDaPrevidencia 
#timeAlexis https://t.co/vmvi5VXicQ",2019-02-21 15:03:07,ALEXIS FONTEYNE,alexisfonteyne,deputado federal,NOVO,SÃO PAULO,SUDESTE,14,ALEXIS FONTEYNE
27,27,378,1,26,"Pessoal
hoje foi o #dia1 da #NovaReforma
Ainda temos um longo caminho pela frente, para garantir que a Reforma da Previdência seja a mais eficaz, coerente e justa para todos os brasileiros, sem exceção.
Acompanhem!

#ReformaDaPrevidencia 
#timeAlexis https://t.co/BnijIMgTur",2019-02-20 17:05:37,ALEXIS FONTEYNE,alexisfonteyne,deputado federal,NOVO,SÃO PAULO,SUDESTE,14,ALEXIS FONTEYNE
28,28,380,1,26,"Contando um pouco sobre nosso trabalho no #gabinete845 e no plenário. 

Live no Facebook: https://t.co/YDsWiu3OT8

#ReformasJá #ReformaDaPrevidência",2019-02-19 17:11:32,ALEXIS FONTEYNE,alexisfonteyne,deputado federal,NOVO,SÃO PAULO,SUDESTE,14,ALEXIS FONTEYNE
29,29,388,-1,27,"Reunião agora dos deputados da Oposição para discutir a Reforma da Previdência de Bolsonaro. 
Querem acabar com o direito do brasileiro de se aposentar. Não vamos permitir. Vai ter luta, vai ter resistência!!!

Foto: Richard Silva/PCdoB na Câmara https://t.co/MtuykFd3N6",2019-02-26 20:12:09,ALICE PORTUGAL,Alice_Portugal,deputado federal,PCDOB,BAHIA,NORDESTE,15,ALICE PORTUGAL
30,30,390,-1,27,"Em Brasília, com o diretor-presidente do SINPOJUD, Zenildo Garcia Castro, e a diretora Maria José Silva, a Zezé, discutindo os principais pontos da Reforma da Previdência de Bolsonaro, como a proposta irá atingir os servidores públicos, e tratando das demandas da categoria. https://t.co/tJ07xVdYFx",2019-02-26 17:47:51,ALICE PORTUGAL,Alice_Portugal,deputado federal,PCDOB,BAHIA,NORDESTE,15,ALICE PORTUGAL
31,31,418,-1,28,"RT @andre_luizviana: @zuil20 @alielmachado @CampoProgr O déficit é criado, pois o governo retira 30% das receitas da Previdência através da…",2019-02-26 21:54:28,ALIEL MACHADO,alielmachado,deputado federal,PSB,PARANÁ,SUL,16,ALIEL MACHADO
32,32,424,-1,28,"Fui abordado hoje por um MEGA-EMPRESÁRIO q me disse:
Não seja irresponsável, vote a favor da R. da previdência.
Respondi: a reforma não combate privilégio, atinge os mais pobres e vai criar um caos na economia.
Irresponsabilidade é achar que um idoso, pobre, pode viver com R$ 400",2019-02-22 16:36:37,ALIEL MACHADO,alielmachado,deputado federal,PSB,PARANÁ,SUL,16,ALIEL MACHADO
33,33,464,1,31,"Na manhã de hoje (26), participei da reunião da bancada federal do Partido da República, tendo como pauta a Reforma da Previdência. Durante a reunião reafirmamos o compromisso histórico do... https://t.co/mQbFlnVKPB",2019-02-26 19:23:22,ALTINEU CORTES,Altineu,deputado federal,PR,RIO DE JANEIRO,SUDESTE,19,ALTINEU CORTES
34,34,491,-1,37,"@liberaldoNE A imbecilidade que se esconde atrás de perfis artificiais gera um pretenso direito de anarquisar pessoas que têm pensamentos .
Vou lutar contra esta verdadeira canalhice que é esta reforma previdenciária, gerada só pra tirar direitos de quem quase não tem e dar aos bancos .",2019-02-21 16:29:42,ANDRE FIGUEIREDO,andrepdt12,deputado federal,PDT,CEARÁ,NORDESTE,22,ANDRE FIGUEIREDO
35,35,496,-1,37,"“Isso é um risco para o Brasil, precisamos discutir exaustivamente com centrais sindicais pra entender como isso vai afetar a população” André Figueiredo no debate do PDT sobre Reforma da Previdência. Acompanhe: https://t.co/aPySXnsf4K #equipeAndré",2019-02-19 14:21:38,ANDRE FIGUEIREDO,andrepdt12,deputado federal,PDT,CEARÁ,NORDESTE,22,ANDRE FIGUEIREDO
36,36,497,-1,37,"Começou agora o debate sobre Reforma da Previdência na sede do PDT, com participação do @cirogomes! Vamos colocar em evidência os principais pontos dessa matéria tão importante para o povo. Acompanhe: https://t.co/xPwq72P2Ok https://t.co/ihYunJpOdh",2019-02-19 13:39:48,ANDRE FIGUEIREDO,andrepdt12,deputado federal,PDT,CEARÁ,NORDESTE,22,ANDRE FIGUEIREDO
37,37,551,-1,42,A proposta de Reforma da Previdência penaliza os mais pobres e vulneráveis. É mentira que combate privilégio. Nenhuma palavra contra sonegadores.,2019-02-20 23:32:47,ARLINDO CHINAGLIA,achinaglia,deputado federal,PT,SÃO PAULO,SUDESTE,25,ARLINDO CHINAGLIA
38,38,557,1,43,"Na @fpagropecuaria, o Secretário da Previdência Rogério Marinho apresenta a proposta da @novaprevidencia, especialmente sua repercussão no meio rural. https://t.co/Yt6MGg15xw",2019-02-26 16:17:04,ARNALDO JARDIM,arnaldojardim,deputado federal,PPS,SÃO PAULO,SUDESTE,26,ARNALDO JARDIM
39,39,558,1,43,"@fpagropecuaria recebe Rogério Marinho,secretário da @novaprevidencia para debater especialmente repercussão no meio rural @camaradeputados https://t.co/NoV2FRGs8z",2019-02-26 16:01:50,ARNALDO JARDIM,arnaldojardim,deputado federal,PPS,SÃO PAULO,SUDESTE,26,ARNALDO JARDIM
40,40,559,0,43,"Hoje em Brasília, na reunião da @fpagropecuaria iremos debater entre tantos@assuntos importantes, o impacto da reforma da Previdência no campo. https://t.co/8qbnnliE43",2019-02-26 14:38:32,ARNALDO JARDIM,arnaldojardim,deputado federal,PPS,SÃO PAULO,SUDESTE,26,ARNALDO JARDIM
41,41,627,-1,47,Com o governador @wdiaspi tratando sobre a reforma administrativa do estado e de pautas nacionais como a reforma da previdência e projeto de segurança pública. https://t.co/Hk8HmetynW,2019-02-26 21:31:45,ASSIS CARVALHO,assis_carvalho,deputado federal,PT,PIAUÍ,NORDESTE,31,ASSIS CARVALHO
42,42,628,-1,47,"Parabéns ao autoproclamado Presidente do Brasil @zehdeabreu. Minha primeira reivindicação é que retire da Câmara essa reforma da previdência que prejudica @s brasileir@s mais pobres.
Tenho uma lista de outros retrocessos que pedirei para que Vossa Excelência revogue, em seguida. https://t.co/Pbtx3OYjFY",2019-02-26 18:47:29,ASSIS CARVALHO,assis_carvalho,deputado federal,PT,PIAUÍ,NORDESTE,31,ASSIS CARVALHO
43,43,636,-1,47,"RT @ptbrasiI: Se ela passar, você não vai se aposentar: conheça os efeitos nefastos da Reforma da Previdência de Bolsonaro. https://t.co/SG…",2019-02-23 09:46:18,ASSIS CARVALHO,assis_carvalho,deputado federal,PT,PIAUÍ,NORDESTE,31,ASSIS CARVALHO
44,44,639,-1,47,#ReajaOuSuaPrevidênciaAcaba https://t.co/84DVoyuwR5,2019-02-20 16:53:00,ASSIS CARVALHO,assis_carvalho,deputado federal,PT,PIAUÍ,NORDESTE,31,ASSIS CARVALHO
45,45,642,-1,47,#ReajaOuSuaPrevidênciaAcaba https://t.co/aBWR7dffaE,2019-02-20 15:11:39,ASSIS CARVALHO,assis_carvalho,deputado federal,PT,PIAUÍ,NORDESTE,31,ASSIS CARVALHO
46,46,643,-1,47,"Possivelmente os mais pobres morrerão antes de se aposentar, diz Adriana Marcolino do Dieese https://t.co/CLFkCbADJP #ReajaOuSuaPrevidênciaAcaba",2019-02-20 15:09:48,ASSIS CARVALHO,assis_carvalho,deputado federal,PT,PIAUÍ,NORDESTE,31,ASSIS CARVALHO
47,47,644,-1,47,#ReajaOuSuaPrevidênciaAcaba https://t.co/NLndzJYcut,2019-02-20 15:03:57,ASSIS CARVALHO,assis_carvalho,deputado federal,PT,PIAUÍ,NORDESTE,31,ASSIS CARVALHO
48,48,651,1,50,"A Nova Previdência tambem engloba mudanças que envolvem os estados. Exige, portanto, o comprometimento dos executivos e legislativos estaduais. Não faz sentido se omitir ou jogar sobre o Congresso Nacional toda a responsabilidade pelo debate.",2019-02-24 01:07:00,AUGUSTO COUTINHO,augustocmelo,deputado federal,SD,PERNAMBUCO,NORDESTE,32,AUGUSTO COUTINHO
49,49,652,1,50,"Comecei a me debruçar sobre o texto da Reforma da Previdência e vamos analisar essa matéria com o cuidado técnico. Mas como deputado federal de Pernambuco, me comprometo em manter atenção, também, sobre as diferenças sociais que marcam nosso país.",2019-02-20 21:25:46,AUGUSTO COUTINHO,augustocmelo,deputado federal,SD,PERNAMBUCO,NORDESTE,32,AUGUSTO COUTINHO
50,50,656,1,50,"A pauta hoje é Reforma da Previdência, assunto que precisa da nossa atenção. Estive mais cedo na entrega do texto pelo presidente @jairbolsonaro à Câmara Federal. Agora sigo para reunião de detalhamento do projeto. Estamos acompanhando!",2019-02-20 13:19:21,AUGUSTO COUTINHO,augustocmelo,deputado federal,SD,PERNAMBUCO,NORDESTE,32,AUGUSTO COUTINHO
51,51,658,1,50,"Sem entrar no mérito da demissão do ministro Bebianno, mas é importante que o Brasil siga no caminho da tranquilidade. Precisamos que o governo envie ao Congresso, o quanto antes, a Reforma da Previdência, que precisa ser discutida com serenidade e seriedade",2019-02-18 23:10:07,AUGUSTO COUTINHO,augustocmelo,deputado federal,SD,PERNAMBUCO,NORDESTE,32,AUGUSTO COUTINHO
52,52,660,1,50,A pouco com Rodrigo Maia presidente da câmara fomos conversar com o governador Paulo Câmara sobre a previdência https://t.co/12yisjUbdm,2019-02-15 03:58:23,AUGUSTO COUTINHO,augustocmelo,deputado federal,SD,PERNAMBUCO,NORDESTE,32,AUGUSTO COUTINHO
53,53,662,1,50,Presidente Rodrigo Maia inicia hoje visitas a diversos governadores par debater a previdência social brasileira https://t.co/GOnWY80eJf,2019-02-14 17:34:40,AUGUSTO COUTINHO,augustocmelo,deputado federal,SD,PERNAMBUCO,NORDESTE,32,AUGUSTO COUTINHO
54,54,669,0,50,"RT @Estadao: Texto da Previdência será apresentado quando Bolsonaro estiver seguro, diz Onyx https://t.co/GdRRss3K60",2019-02-13 23:39:42,AUGUSTO COUTINHO,augustocmelo,deputado federal,SD,PERNAMBUCO,NORDESTE,32,AUGUSTO COUTINHO
55,55,686,-1,51,"No momento em que se discute uma Reforma da Previdência que tira direitos e penaliza os mais pobres, INSS terá gasto mensal de R$ 279 mil com vítimas de Brumadinho #nãofoiacidente",2019-02-27 11:48:41,AUREA CAROLINA,aureacarolinax,deputado federal,PSOL,MINAS GERAIS,SUDESTE,380,AUREA CAROLINA
56,56,762,-1,55,"De forma inacreditável, o economista Paulo Tafner afirma que ""as nossas regras são tão injustas que empregada doméstica se aposenta antes da patroa"". Entenderam o pensamento daqueles que defendem a Ref da Previdência? #PTRJ #TrabalhadorasDomésticas #Fenatrad #CasaGrande #ptrj13 https://t.co/1mWQmwpX1y",2019-02-25 21:22:54,BENEDITA DA SILVA,dasilvabenedita,deputado federal,PT,RIO DE JANEIRO,SUDESTE,36,BENEDITA DA SILVA
57,57,764,-1,55,"Veja 05 motivos para dizer NÃO à Reforma da Previdência! 

Compartilhe! 
https://t.co/aOwpVioA64
 
#MinutoDaEstrela #ReformaDaPrevidencia #Previdencia #PTNacional",2019-02-25 14:49:38,BENEDITA DA SILVA,dasilvabenedita,deputado federal,PT,RIO DE JANEIRO,SUDESTE,36,BENEDITA DA SILVA
58,58,772,-1,55,O povo brasileiro não vai permitir a aprovação de uma reforma que tira os seus direitos e compromete o seu futuro. #ReajaOuSuaPrevidênciaAcaba https://t.co/X94OIkN0Hn,2019-02-20 15:39:50,BENEDITA DA SILVA,dasilvabenedita,deputado federal,PT,RIO DE JANEIRO,SUDESTE,36,BENEDITA DA SILVA
59,59,773,-1,55,Essa luta é de todas e todos nós! #ReajaOuSuaPrevidênciaAcaba https://t.co/OpzPDDgl1v,2019-02-20 15:11:12,BENEDITA DA SILVA,dasilvabenedita,deputado federal,PT,RIO DE JANEIRO,SUDESTE,36,BENEDITA DA SILVA
60,60,774,-1,55,A reforma da Previdência dificulta o acesso e reduz o valor da aposentadoria. #ReajaOuSuaPrevidênciaAcaba https://t.co/4WkX1SMqjf,2019-02-20 15:01:14,BENEDITA DA SILVA,dasilvabenedita,deputado federal,PT,RIO DE JANEIRO,SUDESTE,36,BENEDITA DA SILVA
61,61,775,-1,55,PEC da reforma da Previdência de Bolsonaro é pior do que a de Temer. #ReajaOuSuaPrevidênciaAcaba https://t.co/sx04KwTSD4,2019-02-20 14:38:03,BENEDITA DA SILVA,dasilvabenedita,deputado federal,PT,RIO DE JANEIRO,SUDESTE,36,BENEDITA DA SILVA
62,62,776,-1,55,Reforma da Previdência reduzirá o valor de aposentadoria de mulheres e pensões de viúvos e órfãos.   #ReajaOuSuaPrevidênciaAcaba https://t.co/jZoiptqQD8,2019-02-20 14:30:33,BENEDITA DA SILVA,dasilvabenedita,deputado federal,PT,RIO DE JANEIRO,SUDESTE,36,BENEDITA DA SILVA
63,63,780,-1,55,"TIREM AS MÃOS DA PREVIDÊNCIA! Debate com Carlos gabas, ex-ministro da Previdência Social nos governos Lula e Dilma. https://t.co/cmj00rpRd8",2019-02-18 22:37:29,BENEDITA DA SILVA,dasilvabenedita,deputado federal,PT,RIO DE JANEIRO,SUDESTE,36,BENEDITA DA SILVA
64,64,784,-1,57,"Mais uma semana de debates para impedir a aprovação da Reforma da Previdência.

O governo Bolsonaro quer acabar com a aposentadoria rural. https://t.co/SratqlJAWe",2019-02-27 18:28:46,BETO FARO,betofaropt,deputado federal,PT,para,NORTE,37,BETO FARO
65,65,785,-1,57,"Mais uma semana de debates para impedir a aprovação da Reforma da Previdência.

O governo Bolsonaro quer acabar com a aposentadoria rural. https://t.co/pzd3AGN3Uy",2019-02-27 18:18:09,BETO FARO,betofaropt,deputado federal,PT,para,NORTE,37,BETO FARO
66,66,788,-1,57,"A Reforma da Previdência é perversa para o trabalhador e não tem apoio para ser aprovada. Será derrota para o governo. Sem votos, governo começa a ouvir partidos e negociar reforma da Previdência | Brasil 247 https://t.co/EOLLCBTEqt",2019-02-27 10:59:53,BETO FARO,betofaropt,deputado federal,PT,para,NORTE,37,BETO FARO
67,67,789,-1,57,O aposentado não pode pagar a conta... Reposição pela inflação está ameaçada com reforma da previdência | Brasil 247 https://t.co/08y3CMTuN6,2019-02-27 10:58:16,BETO FARO,betofaropt,deputado federal,PT,para,NORTE,37,BETO FARO
68,68,802,-1,57,RT @brasil247: Maia: será difícil tramitar PEC da Previdência sem proposta para militares https://t.co/h2UA4Is0hk,2019-02-25 18:09:38,BETO FARO,betofaropt,deputado federal,PT,para,NORTE,37,BETO FARO
69,69,803,-1,57,"O presidente que tornou a previdência superavitária dá aula de qual a receita para garantir a nossa aposentadoria: gerando empregos e investindo no país, o Estado consegue equilibrar as contas sem cortar direitos. https://t.co/323ZZq33xd",2019-02-25 18:07:36,BETO FARO,betofaropt,deputado federal,PT,para,NORTE,37,BETO FARO
70,70,808,-1,57,Previdência de Bolsonaro colocará em risco vida dos idosos do país https://t.co/IVXOV43G1V,2019-02-24 16:11:57,BETO FARO,betofaropt,deputado federal,PT,para,NORTE,37,BETO FARO
71,71,812,0,58,Semana em Brasília começou com discussões em torno da Reforma da Previdência. Foi tema da reunião da Frente Parlamentar da Agropecuária e dos debates com representantes do Sindifisco. O assunto pautou o encontro do PSDB com o Secretário Especial da Previdência e Trabalho https://t.co/roqqwwIDyv,2019-02-27 00:29:16,BETO PEREIRA,betopereirams,deputado federal,PSDB,MATO GROSSO DO SUL,CENTRO-OESTE,38,BETO PEREIRA
72,72,813,1,58,"Participando da reunião  da bancada do @PSDBnaCamara com o secretário especial de Previdência e Trabalho, @rogeriosmarinho, para debater a #ReformadaPrevidência https://t.co/XpK23ocZT5",2019-02-26 19:55:48,BETO PEREIRA,betopereirams,deputado federal,PSDB,MATO GROSSO DO SUL,CENTRO-OESTE,38,BETO PEREIRA
73,73,816,0,58,Reforma da Previdência e medidas anticorrupção. Esses são alguns dos temas que estão sendo debatidos nesse momento na reunião da Executiva Nacional do PSDB. Estamos  discutindo qual será a posição da bancada do partido diante de assuntos tão importantes para o Brasil. https://t.co/4WMPTZIAUO,2019-02-20 15:40:18,BETO PEREIRA,betopereirams,deputado federal,PSDB,MATO GROSSO DO SUL,CENTRO-OESTE,38,BETO PEREIRA
74,74,835,1,59,O Presidente Jair Bolsonaro entregou à Câmara dos Deputados a proposta de reforma da previdência. O nosso mandato vai estar atento para debater as mudanças e defender uma reforma que seja justa para todos. #ReformaDaPrevidência #Brasil https://t.co/ITD7uiQrOQ,2019-02-21 13:59:04,BETO ROSADO,betorosado,deputado federal,PP,RIO GRANDE DO NORTE,SUL,39,BETO ROSADO
75,75,883,-1,64,"RT @Glauber_Braga: Olha o que disse o filho de Bolsonaro, sobre a “reforma” da previdência, antes das eleições: https://t.co/MwOEgiTDGG",2019-02-27 23:31:19,BIRA DO PINDARÉ,biradopindare,deputado federal,PSB,MARANHÃO,NORDESTE,43,BIRA DO PINDARE
76,76,888,0,64,"RT @JFMargarida: REFORMA DA PREVIDÊNCIA: VOCÊ ACHA JUSTO?

Um vídeo didático para entender todas as questões que envolvem a previdência.
Em…",2019-02-25 00:21:48,BIRA DO PINDARÉ,biradopindare,deputado federal,PSB,MARANHÃO,NORDESTE,43,BIRA DO PINDARE
77,77,913,-1,66,"Auxílio-mudança? Não recebi. Fui reeleito, não me mudei. Aposentadoria especial para deputados? Não aceito. Política não é profissão. Pretendo me aposentar pelo Regime Geral da Previdência. E tenho projetos para acabar com esses dois privilégios. Tá lá, é só votar.",2019-02-28 01:44:30,BOHN GASS,bohngass,deputado federal,PT,RIO GRANDE DO SUL,SUL,45,BOHN GASS
78,78,925,-1,66,"A capitalização NÃO ESTÁ detalhada na #PECantiPrevidência de Bolsonaro. Ele sabe: se der detalhes da capitalização, o povo entende a maldade e pressiona contra. Então, manobra é jogar p/ depois, num Projeto de Lei Complementar/PLC. Porque PEC exige 308 votos, PLC só 257.",2019-02-25 17:12:55,BOHN GASS,bohngass,deputado federal,PT,RIO GRANDE DO SUL,SUL,45,BOHN GASS
